Target,Num Features,Balancing Method,Model,F1_macro,Selected Features
Category,5,RandomOverSampler,Logistic Regression,0.5248490234204696,"Vict Age,Vict Sex,Vict Descent,Premis Cd,Weapon Used"
Category,5,RandomOverSampler,Decision Tree,0.673856150304422,"Vict Age,Vict Sex,Vict Descent,Premis Cd,Weapon Used"
Category,5,RandomOverSampler,Random Forest,0.6788062374176435,"Vict Age,Vict Sex,Vict Descent,Premis Cd,Weapon Used"
Category,5,RandomOverSampler,XGBoost,0.6411070951108521,"Vict Age,Vict Sex,Vict Descent,Premis Cd,Weapon Used"
Category,5,RandomOverSampler,KNN,0.5385125700804305,"Vict Age,Vict Sex,Vict Descent,Premis Cd,Weapon Used"
Category,5,RandomOverSampler,SVM,0.5012290792761018,"Vict Age,Vict Sex,Vict Descent,Premis Cd,Weapon Used"
Category,5,SMOTE,Logistic Regression,0.5266353104879367,"Vict Age,Vict Sex,Vict Descent,Premis Cd,Weapon Used"
Category,5,SMOTE,Decision Tree,0.6928067537161067,"Vict Age,Vict Sex,Vict Descent,Premis Cd,Weapon Used"
Category,5,SMOTE,Random Forest,0.6980367010750368,"Vict Age,Vict Sex,Vict Descent,Premis Cd,Weapon Used"
Category,5,SMOTE,XGBoost,0.6580974025991411,"Vict Age,Vict Sex,Vict Descent,Premis Cd,Weapon Used"
Category,5,SMOTE,KNN,0.6280903587649194,"Vict Age,Vict Sex,Vict Descent,Premis Cd,Weapon Used"
Category,5,SMOTE,SVM,0.4995533262978806,"Vict Age,Vict Sex,Vict Descent,Premis Cd,Weapon Used"
Category,5,UnderSampling,Logistic Regression,0.5246684985197041,"Vict Age,Vict Sex,Vict Descent,Premis Cd,Weapon Used"
Category,5,UnderSampling,Decision Tree,0.6033012820616911,"Vict Age,Vict Sex,Vict Descent,Premis Cd,Weapon Used"
Category,5,UnderSampling,Random Forest,0.6147459389161796,"Vict Age,Vict Sex,Vict Descent,Premis Cd,Weapon Used"
Category,5,UnderSampling,XGBoost,0.6223764139457174,"Vict Age,Vict Sex,Vict Descent,Premis Cd,Weapon Used"
Category,5,UnderSampling,KNN,0.4671417238482916,"Vict Age,Vict Sex,Vict Descent,Premis Cd,Weapon Used"
Category,5,UnderSampling,SVM,0.5039379780679737,"Vict Age,Vict Sex,Vict Descent,Premis Cd,Weapon Used"
Category,6,RandomOverSampler,Logistic Regression,0.5242617806954823,"TIME OCC,Vict Age,Vict Sex,Vict Descent,Premis Cd,Weapon Used"
Category,6,RandomOverSampler,Decision Tree,0.7238948232901542,"TIME OCC,Vict Age,Vict Sex,Vict Descent,Premis Cd,Weapon Used"
Category,6,RandomOverSampler,Random Forest,0.7565447819698369,"TIME OCC,Vict Age,Vict Sex,Vict Descent,Premis Cd,Weapon Used"
Category,6,RandomOverSampler,XGBoost,0.6561420677080871,"TIME OCC,Vict Age,Vict Sex,Vict Descent,Premis Cd,Weapon Used"
Category,6,RandomOverSampler,KNN,0.7095622397274688,"TIME OCC,Vict Age,Vict Sex,Vict Descent,Premis Cd,Weapon Used"
Category,6,RandomOverSampler,SVM,0.50205234759232,"TIME OCC,Vict Age,Vict Sex,Vict Descent,Premis Cd,Weapon Used"
Category,6,SMOTE,Logistic Regression,0.520186041877839,"TIME OCC,Vict Age,Vict Sex,Vict Descent,Premis Cd,Weapon Used"
Category,6,SMOTE,Decision Tree,0.7134155500349977,"TIME OCC,Vict Age,Vict Sex,Vict Descent,Premis Cd,Weapon Used"
Category,6,SMOTE,Random Forest,0.7276565323088048,"TIME OCC,Vict Age,Vict Sex,Vict Descent,Premis Cd,Weapon Used"
Category,6,SMOTE,XGBoost,0.6901017683064656,"TIME OCC,Vict Age,Vict Sex,Vict Descent,Premis Cd,Weapon Used"
Category,6,SMOTE,KNN,0.6915920366391609,"TIME OCC,Vict Age,Vict Sex,Vict Descent,Premis Cd,Weapon Used"
Category,6,SMOTE,SVM,0.46933897353091825,"TIME OCC,Vict Age,Vict Sex,Vict Descent,Premis Cd,Weapon Used"
Category,6,UnderSampling,Logistic Regression,0.524964970302876,"TIME OCC,Vict Age,Vict Sex,Vict Descent,Premis Cd,Weapon Used"
Category,6,UnderSampling,Decision Tree,0.5989332366681475,"TIME OCC,Vict Age,Vict Sex,Vict Descent,Premis Cd,Weapon Used"
Category,6,UnderSampling,Random Forest,0.6148146699139867,"TIME OCC,Vict Age,Vict Sex,Vict Descent,Premis Cd,Weapon Used"
Category,6,UnderSampling,XGBoost,0.6238429535785981,"TIME OCC,Vict Age,Vict Sex,Vict Descent,Premis Cd,Weapon Used"
Category,6,UnderSampling,KNN,0.570226592905408,"TIME OCC,Vict Age,Vict Sex,Vict Descent,Premis Cd,Weapon Used"
Category,6,UnderSampling,SVM,0.504784250812234,"TIME OCC,Vict Age,Vict Sex,Vict Descent,Premis Cd,Weapon Used"
Category,7,RandomOverSampler,Logistic Regression,0.5242557650177495,"DATE OCC,TIME OCC,Vict Age,Vict Sex,Vict Descent,Premis Cd,Weapon Used"
Category,7,RandomOverSampler,Decision Tree,0.7299817435322372,"DATE OCC,TIME OCC,Vict Age,Vict Sex,Vict Descent,Premis Cd,Weapon Used"
Category,7,RandomOverSampler,Random Forest,0.7664275278010111,"DATE OCC,TIME OCC,Vict Age,Vict Sex,Vict Descent,Premis Cd,Weapon Used"
Category,7,RandomOverSampler,XGBoost,0.6615521879105951,"DATE OCC,TIME OCC,Vict Age,Vict Sex,Vict Descent,Premis Cd,Weapon Used"
Category,7,RandomOverSampler,KNN,0.748738784778137,"DATE OCC,TIME OCC,Vict Age,Vict Sex,Vict Descent,Premis Cd,Weapon Used"
Category,7,RandomOverSampler,SVM,0.5020162964607278,"DATE OCC,TIME OCC,Vict Age,Vict Sex,Vict Descent,Premis Cd,Weapon Used"
Category,7,SMOTE,Logistic Regression,0.5156996801896747,"DATE OCC,TIME OCC,Vict Age,Vict Sex,Vict Descent,Premis Cd,Weapon Used"
Category,7,SMOTE,Decision Tree,0.7049375239197382,"DATE OCC,TIME OCC,Vict Age,Vict Sex,Vict Descent,Premis Cd,Weapon Used"
Category,7,SMOTE,Random Forest,0.7211071201048747,"DATE OCC,TIME OCC,Vict Age,Vict Sex,Vict Descent,Premis Cd,Weapon Used"
Category,7,SMOTE,XGBoost,0.6864004657639337,"DATE OCC,TIME OCC,Vict Age,Vict Sex,Vict Descent,Premis Cd,Weapon Used"
Category,7,SMOTE,KNN,0.6787948980701055,"DATE OCC,TIME OCC,Vict Age,Vict Sex,Vict Descent,Premis Cd,Weapon Used"
Category,7,SMOTE,SVM,0.4648889980074095,"DATE OCC,TIME OCC,Vict Age,Vict Sex,Vict Descent,Premis Cd,Weapon Used"
Category,7,UnderSampling,Logistic Regression,0.5246961319113125,"DATE OCC,TIME OCC,Vict Age,Vict Sex,Vict Descent,Premis Cd,Weapon Used"
Category,7,UnderSampling,Decision Tree,0.5960287826094011,"DATE OCC,TIME OCC,Vict Age,Vict Sex,Vict Descent,Premis Cd,Weapon Used"
Category,7,UnderSampling,Random Forest,0.6086984114290901,"DATE OCC,TIME OCC,Vict Age,Vict Sex,Vict Descent,Premis Cd,Weapon Used"
Category,7,UnderSampling,XGBoost,0.6208035849106558,"DATE OCC,TIME OCC,Vict Age,Vict Sex,Vict Descent,Premis Cd,Weapon Used"
Category,7,UnderSampling,KNN,0.5587386781949245,"DATE OCC,TIME OCC,Vict Age,Vict Sex,Vict Descent,Premis Cd,Weapon Used"
Category,7,UnderSampling,SVM,0.5044116651968369,"DATE OCC,TIME OCC,Vict Age,Vict Sex,Vict Descent,Premis Cd,Weapon Used"
Category,9,RandomOverSampler,Logistic Regression,0.5241531034380306,"Date Rptd,DATE OCC,TIME OCC,AREA,Vict Age,Vict Sex,Vict Descent,Premis Cd,Weapon Used"
Category,9,RandomOverSampler,Decision Tree,0.7342013657737562,"Date Rptd,DATE OCC,TIME OCC,AREA,Vict Age,Vict Sex,Vict Descent,Premis Cd,Weapon Used"
Category,9,RandomOverSampler,Random Forest,0.7846416680668458,"Date Rptd,DATE OCC,TIME OCC,AREA,Vict Age,Vict Sex,Vict Descent,Premis Cd,Weapon Used"
Category,9,RandomOverSampler,XGBoost,0.6757967433619607,"Date Rptd,DATE OCC,TIME OCC,AREA,Vict Age,Vict Sex,Vict Descent,Premis Cd,Weapon Used"
Category,9,RandomOverSampler,KNN,0.7509460822131414,"Date Rptd,DATE OCC,TIME OCC,AREA,Vict Age,Vict Sex,Vict Descent,Premis Cd,Weapon Used"
Category,9,RandomOverSampler,SVM,0.5028305817581331,"Date Rptd,DATE OCC,TIME OCC,AREA,Vict Age,Vict Sex,Vict Descent,Premis Cd,Weapon Used"
Category,9,SMOTE,Logistic Regression,0.5176075588708098,"Date Rptd,DATE OCC,TIME OCC,AREA,Vict Age,Vict Sex,Vict Descent,Premis Cd,Weapon Used"
Category,9,SMOTE,Decision Tree,0.7026909009160762,"Date Rptd,DATE OCC,TIME OCC,AREA,Vict Age,Vict Sex,Vict Descent,Premis Cd,Weapon Used"
Category,9,SMOTE,Random Forest,0.7299568636062747,"Date Rptd,DATE OCC,TIME OCC,AREA,Vict Age,Vict Sex,Vict Descent,Premis Cd,Weapon Used"
Category,9,SMOTE,XGBoost,0.693229336021965,"Date Rptd,DATE OCC,TIME OCC,AREA,Vict Age,Vict Sex,Vict Descent,Premis Cd,Weapon Used"
Category,9,SMOTE,KNN,0.6847164216309524,"Date Rptd,DATE OCC,TIME OCC,AREA,Vict Age,Vict Sex,Vict Descent,Premis Cd,Weapon Used"
Category,9,SMOTE,SVM,0.4670843549654128,"Date Rptd,DATE OCC,TIME OCC,AREA,Vict Age,Vict Sex,Vict Descent,Premis Cd,Weapon Used"
Category,9,UnderSampling,Logistic Regression,0.5243810506915724,"Date Rptd,DATE OCC,TIME OCC,AREA,Vict Age,Vict Sex,Vict Descent,Premis Cd,Weapon Used"
Category,9,UnderSampling,Decision Tree,0.5926403697629908,"Date Rptd,DATE OCC,TIME OCC,AREA,Vict Age,Vict Sex,Vict Descent,Premis Cd,Weapon Used"
Category,9,UnderSampling,Random Forest,0.6135037158333618,"Date Rptd,DATE OCC,TIME OCC,AREA,Vict Age,Vict Sex,Vict Descent,Premis Cd,Weapon Used"
Category,9,UnderSampling,XGBoost,0.6254703508953122,"Date Rptd,DATE OCC,TIME OCC,AREA,Vict Age,Vict Sex,Vict Descent,Premis Cd,Weapon Used"
Category,9,UnderSampling,KNN,0.5511092073228527,"Date Rptd,DATE OCC,TIME OCC,AREA,Vict Age,Vict Sex,Vict Descent,Premis Cd,Weapon Used"
Category,9,UnderSampling,SVM,0.50535856969211,"Date Rptd,DATE OCC,TIME OCC,AREA,Vict Age,Vict Sex,Vict Descent,Premis Cd,Weapon Used"
